 ## Time[ps]  Epot[eV]  Etot[eV]  Ekin[eV]  <Edelta>  <Etot>  <T[K]>
        10.0000    -5610.98702   -5545.57020      65.41682        3.08182   -5542.70049     361.74387
        20.0000    -5611.24200   -5547.94201      63.29999        3.04750   -5547.02637     351.35004
        30.0000    -5610.09835   -5545.04461      65.05374        3.03783   -5548.24558     348.25454
        40.0000    -5611.42505   -5545.46144      65.96361        3.05828   -5545.66744     354.64208
        50.0000    -5609.96489   -5543.93743      66.02746        3.07164   -5543.98476     358.71205
        60.0000    -5610.34181   -5544.02346      66.31835        3.06050   -5545.38773     355.37541
        70.0000    -5611.21972   -5548.21285      63.00687        3.05214   -5546.44218     353.00672
        80.0000    -5611.58353   -5547.28549      64.29803        3.04302   -5547.59138     350.33662
        90.0000    -5612.36409   -5548.31618      64.04791        3.03606   -5548.46898     348.22624
       100.0000    -5612.40194   -5548.69066      63.71128        3.04091   -5547.85685     349.60986
       110.0000    -5611.25564   -5545.11201      66.14362        3.06329   -5545.03694     356.92820
       120.0000    -5611.62645   -5546.90204      64.72441        3.06199   -5545.20053     356.15274
       130.0000    -5612.68149   -5548.44873      64.23276        3.05374   -5546.23995     354.01739
       140.0000    -5612.05401   -5547.60737      64.44664        3.03400   -5548.72837     347.41414
       150.0000    -5612.04890   -5549.66376      62.38514        3.04623   -5547.18676     351.58309
       160.0000    -5609.53144   -5546.47463      63.05681        3.03952   -5548.03308     349.03119
       170.0000    -5610.79108   -5545.43826      65.35282        3.05252   -5546.39363     353.50879
       180.0000    -5611.27516   -5544.77251      66.50264        3.06470   -5544.85860     357.41791
       190.0000    -5611.43110   -5547.65865      63.77244        3.06044   -5545.39554     356.32782
       200.0000    -5612.54982   -5548.95769      63.59213        3.02084   -5550.38717     343.44876
       210.0000    -5615.46149   -5551.02656      64.43493        3.03863   -5548.14489     349.50328
       220.0000    -5612.92541   -5547.70538      65.22002        3.03038   -5549.18497     346.85121
       230.0000    -5612.15326   -5548.22882      63.92444        3.05413   -5546.19073     354.42874
       240.0000    -5611.92608   -5546.77089      65.15519        3.03327   -5548.81979     347.82906
