 ## Time[ps]  Epot[eV]  Etot[eV]  Ekin[eV]  <Edelta>  <Etot>  <T[K]>
       640.0000    -5742.71684   -5569.14931     173.56753       -1.23512   -5570.02258     949.14047
       650.0000    -5738.13802   -5567.13838     170.99963       -1.21657   -5567.68491     943.58525
       660.0000    -5738.60802   -5562.97002     175.63800       -1.20894   -5566.72318     955.69730
       670.0000    -5734.64881   -5562.43674     172.21207       -1.20305   -5565.98085     954.31150
       680.0000    -5741.72701   -5571.45867     170.26834       -1.20350   -5566.03831     950.19823
       690.0000    -5739.94656   -5564.07185     175.87471       -1.21107   -5566.99181     954.34351
       700.0000    -5734.12057   -5552.26391     181.85667       -1.12619   -5556.29308     975.17081
       710.0000    -5738.44257   -5563.13597     175.30660       -1.12425   -5556.04890     972.89938
       720.0000    -5736.62386   -5565.98911     170.63475       -1.23085   -5569.48454     943.56974
       730.0000    -5745.57932   -5577.74059     167.83873       -1.24593   -5571.38605     937.69564
       740.0000    -5743.92426   -5572.67066     171.25360       -1.26104   -5573.29011     938.05287
       750.0000    -5741.58509   -5566.70011     174.88498       -1.29543   -5577.62403     929.04493
       760.0000    -5730.44050   -5559.76785     170.67266       -1.18910   -5564.22287     950.67129
       770.0000    -5743.20702   -5571.05656     172.15046       -1.17825   -5562.85509     961.95616
       780.0000    -5743.78280   -5570.63635     173.14645       -1.26134   -5573.32749     945.50843
       790.0000    -5745.01524   -5570.87588     174.13936       -1.23782   -5570.36361     943.52177
       800.0000    -5747.40386   -5576.48045     170.92341       -1.23020   -5569.40332     955.26247
       810.0000    -5744.34092   -5570.90907     173.43185       -1.28233   -5575.97397     938.96970
       820.0000    -5739.69051   -5563.98352     175.70699       -1.21067   -5566.94157     954.55000
       830.0000    -5747.82917   -5568.54033     179.28884       -1.19114   -5564.48001     964.12641
       840.0000    -5749.69682   -5570.95087     178.74595       -1.25941   -5573.08439     943.84799
       850.0000    -5745.64894   -5575.52058     170.12836       -1.25680   -5572.75511     943.05047
       860.0000    -5746.77658   -5567.54145     179.23513       -1.22113   -5568.26031     955.90128
       870.0000    -5749.44409   -5562.85228     186.59182       -1.20051   -5565.66065     957.72475
       880.0000    -5737.82289   -5568.50010     169.32280       -1.17023   -5561.84448     964.17059
       890.0000    -5750.95821   -5577.49078     173.46744       -1.25638   -5572.70255     948.31926
       900.0000    -5738.66149   -5555.68303     182.97846       -1.21294   -5567.22765     952.22651
       910.0000    -5734.97649   -5560.75388     174.22261       -1.15138   -5559.46853     963.85501
       920.0000    -5745.22366   -5568.01847     177.20520       -1.18624   -5563.86177     955.42312
       930.0000    -5745.19872   -5572.03722     173.16150       -1.23303   -5569.75970     951.30750
       940.0000    -5737.76637   -5560.11991     177.64646       -1.22787   -5569.10896     947.95560
       950.0000    -5744.16975   -5557.95149     186.21826       -1.14468   -5558.62459     966.33619
       960.0000    -5740.21156   -5564.33735     175.87421       -1.16513   -5561.20111     965.47138
       970.0000    -5752.08825   -5579.25090     172.83735       -1.27678   -5575.27437     937.30035
       980.0000    -5746.82140   -5575.81731     171.00409       -1.28124   -5575.83593     943.51167
       990.0000    -5749.70486   -5574.09379     175.61107       -1.26452   -5573.72907     943.12172
      1000.0000    -5744.50820   -5574.23502     170.27317       -1.24817   -5571.66772     948.44530
      1010.0000    -5755.16568   -5590.74760     164.41808       -1.36221   -5586.04097     918.85249
      1020.0000    -5765.81179   -5600.55161     165.26018       -1.38018   -5588.30685     913.83938
      1030.0000    -5763.31362   -5604.75189     158.56173       -1.44833   -5596.89618     897.64927
      1040.0000    -5764.07364   -5602.23741     161.83623       -1.47816   -5600.65556     882.51177
      1050.0000    -5764.21445   -5606.38098     157.83347       -1.43718   -5595.49049     899.97581
      1060.0000    -5758.02378   -5593.12138     164.90240       -1.43776   -5595.56405     897.66789
      1070.0000    -5751.98565   -5587.19149     164.79416       -1.40026   -5590.83696     909.73580
      1080.0000    -5756.57037   -5590.20049     166.36988       -1.38820   -5589.31706     912.28989
      1090.0000    -5747.66238   -5588.71742     158.94496       -1.39564   -5590.25475     910.01500
      1100.0000    -5757.54995   -5592.51515     165.03480       -1.40005   -5590.81047     912.03998
      1110.0000    -5763.42962   -5597.13073     166.29889       -1.46846   -5599.43334     891.98792
      1120.0000    -5766.20703   -5603.91255     162.29448       -1.48813   -5601.91171     890.49011
      1130.0000    -5769.83172   -5603.52873     166.30299       -1.51755   -5605.62071     883.78132
      1140.0000    -5761.65313   -5593.09407     168.55906       -1.45395   -5597.60379     899.66473
      1150.0000    -5762.75330   -5598.32563     164.42768       -1.42963   -5594.53882     907.28546
      1160.0000    -5762.28033   -5593.97157     168.30876       -1.43306   -5594.97143     906.40022
      1170.0000    -5762.72547   -5605.52524     157.20023       -1.48030   -5600.92523     890.81120
      1180.0000    -5760.42645   -5596.68273     163.74372       -1.50598   -5604.16208     884.67636
      1190.0000    -5762.98534   -5595.44105     167.54429       -1.42458   -5593.90299     910.87637
      1200.0000    -5763.78635   -5597.10777     166.67858       -1.43545   -5595.27194     903.90660
      1210.0000    -5758.91166   -5592.97977     165.93189       -1.45112   -5597.24757     895.66614
      1220.0000    -5754.77811   -5589.76328     165.01482       -1.41106   -5592.19781     907.09670
      1230.0000    -5755.34898   -5593.50907     161.83991       -1.41662   -5592.89865     901.52638
      1240.0000    -5768.51801   -5604.47925     164.03876       -1.44687   -5596.71115     894.99301
      1250.0000    -5755.52575   -5592.79881     162.72694       -1.46302   -5598.74748     895.79140
      1260.0000    -5754.57188   -5586.12073     168.45115       -1.36533   -5586.43485     912.93173
      1270.0000    -5761.39791   -5593.55912     167.83879       -1.39639   -5590.34935     911.15022
      1280.0000    -5764.53892   -5600.85292     163.68600       -1.44090   -5595.95870     893.94385
      1290.0000    -5760.46237   -5600.22139     160.24098       -1.48900   -5602.02131     887.11645
      1300.0000    -5767.27252   -5604.83421     162.43830       -1.47104   -5599.75776     894.96350
      1310.0000    -5760.20729   -5591.07759     169.12971       -1.46136   -5598.53785     900.38649
      1320.0000    -5759.35978   -5594.26166     165.09812       -1.42041   -5593.37675     903.50186
      1330.0000    -5756.47309   -5587.60820     168.86488       -1.40465   -5591.39067     911.27808
      1340.0000    -5758.87833   -5594.23241     164.64593       -1.43768   -5595.55389     904.95975
      1350.0000    -5762.13193   -5595.90471     166.22722       -1.42931   -5594.49896     903.72285
      1360.0000    -5756.26259   -5599.60059     156.66200       -1.45646   -5597.92047     898.71342
      1370.0000    -5765.30278   -5595.29240     170.01037       -1.45507   -5597.74553     898.89405
      1380.0000    -5762.03870   -5597.04621     164.99250       -1.44255   -5596.16773     899.18509
      1390.0000    -5763.39703   -5598.45360     164.94343       -1.45454   -5597.67795     900.11495
      1400.0000    -5762.86602   -5601.68164     161.18439       -1.45872   -5598.20507     898.62989
      1410.0000    -5769.49638   -5608.89684     160.59954       -1.55393   -5610.20608     877.07215
      1420.0000    -5763.49763   -5596.44187     167.05576       -1.50737   -5604.33653     895.30147
      1430.0000    -5768.31779   -5606.32379     161.99400       -1.45594   -5597.85459     900.72389
      1440.0000    -5763.01214   -5597.76829     165.24385       -1.44754   -5596.79652     899.54514
      1450.0000    -5756.95989   -5597.85765     159.10223       -1.44190   -5596.08484     893.07984
      1460.0000    -5764.22941   -5598.22129     166.00812       -1.43321   -5594.98986     898.85308
      1470.0000    -5764.89343   -5602.40423     162.48920       -1.47348   -5600.06625     892.91671
      1480.0000    -5761.83610   -5595.92267     165.91343       -1.44566   -5596.55927     900.33543
      1490.0000    -5764.33924   -5598.66660     165.67264       -1.49076   -5602.24399     886.15457
      1500.0000    -5762.47978   -5591.95963     170.52016       -1.42859   -5594.40813     903.37839
      1510.0000    -5764.15251   -5599.93714     164.21537       -1.43973   -5595.81219     900.12099
      1520.0000    -5772.65267   -5607.56636     165.08632       -1.53938   -5608.37138     877.15427
      1530.0000    -5761.94375   -5596.28071     165.66304       -1.51039   -5604.71819     887.82753
      1540.0000    -5762.39162   -5602.07270     160.31892       -1.45204   -5597.36345     891.55406
      1550.0000    -5772.27094   -5608.34877     163.92217       -1.53621   -5607.97215     878.86634
      1560.0000    -5759.08574   -5593.15557     165.93017       -1.46581   -5599.09892     897.45918
      1570.0000    -5756.39325   -5593.03484     163.35842       -1.41787   -5593.05687     906.36606
      1580.0000    -5769.32699   -5604.61107     164.71592       -1.46550   -5599.06000     898.35830
      1590.0000    -5759.53695   -5596.11046     163.42649       -1.49184   -5602.37960     886.18703
      1600.0000    -5759.34648   -5599.93484     159.41164       -1.43854   -5595.66209     899.95836
      1610.0000    -5759.93247   -5592.84995     167.08252       -1.45246   -5597.41595     895.01312
      1620.0000    -5766.54650   -5606.21474     160.33176       -1.48727   -5601.80402     887.29729
      1630.0000    -5757.65228   -5599.66874     157.98353       -1.48618   -5601.66644     885.86231
      1640.0000    -5752.25629   -5587.46014     164.79615       -1.40343   -5591.23611     902.14407
      1650.0000    -5755.22905   -5587.83282     167.39622       -1.39026   -5589.57619     907.70323
      1660.0000    -5763.84150   -5596.44511     167.39639       -1.42776   -5594.30311     904.59769
      1670.0000    -5765.23496   -5600.83031     164.40465       -1.46013   -5598.38355     898.86598
      1680.0000    -5766.14268   -5601.11777     165.02491       -1.47103   -5599.75662     898.10696
      1690.0000    -5767.42235   -5600.83655     166.58580       -1.46993   -5599.61882     892.43570
      1700.0000    -5766.34996   -5601.41320     164.93676       -1.47985   -5600.86798     891.32156
      1710.0000    -5760.13113   -5597.47327     162.65786       -1.48124   -5601.04335     887.24862
      1720.0000    -5762.95731   -5594.15873     168.79859       -1.42142   -5593.50431     903.19902
      1730.0000    -5756.07558   -5595.72779     160.34779       -1.42957   -5594.53071     899.84917
      1740.0000    -5755.26317   -5591.83964     163.42353       -1.41658   -5592.89366     898.28868
      1750.0000    -5761.59272   -5595.08473     166.50800       -1.42182   -5593.55511     901.10162
      1760.0000    -5748.53908   -5585.24167     163.29741       -1.40514   -5591.45174     902.27331
      1770.0000    -5766.34380   -5600.69501     165.64878       -1.46612   -5599.13740     890.08545
      1780.0000    -5763.58682   -5596.14058     167.44624       -1.43544   -5595.27144     904.71971
      1790.0000    -5757.59824   -5595.78489     161.81335       -1.45620   -5597.88782     899.88321
      1800.0000    -5766.37311   -5601.55338     164.81973       -1.45795   -5598.10870     888.37467
      1810.0000    -5760.30374   -5594.07396     166.22978       -1.42838   -5594.38183     907.72145
      1820.0000    -5764.67131   -5593.39084     171.28047       -1.45380   -5597.58461     897.49528
      1830.0000    -5761.71208   -5585.52756     176.18453       -1.36661   -5586.59649     922.38116
      1840.0000    -5761.15235   -5593.59182     167.56053       -1.38858   -5589.36490     914.07558
      1850.0000    -5761.52485   -5601.59693     159.92792       -1.46457   -5598.94294     892.91411
      1860.0000    -5766.10061   -5603.34906     162.75155       -1.46589   -5599.10882     900.36488
      1870.0000    -5773.24723   -5609.11700     164.13022       -1.51567   -5605.38347     885.77055
      1880.0000    -5771.87037   -5607.05708     164.81329       -1.52880   -5607.03873     889.54532
      1890.0000    -5763.96301   -5596.34516     167.61784       -1.48579   -5601.61729     895.84065
      1900.0000    -5769.80537   -5597.04030     172.76507       -1.45789   -5598.10064     902.22831
