 ## Time[ps]  Epot[eV]  Etot[eV]  Ekin[eV]  <Edelta>  <Etot>  <T[K]>
      6500.0000    -5884.12904   -5776.91266     107.21638        3.77542   -5776.02005     603.19338
      6600.0000    -5888.15313   -5780.61354     107.53960        3.76951   -5776.76564     597.67380
      6700.0000    -5893.69417   -5782.57731     111.11686        3.76096   -5777.84298     597.07117
      6800.0000    -5889.97751   -5783.07336     106.90416        3.76749   -5777.02003     600.19735
      6900.0000    -5888.64787   -5782.19495     106.45292        3.77863   -5775.61631     603.51190
      7000.0000    -5889.03993   -5779.13593     109.90401        3.77165   -5776.49619     601.96979
      7100.0000    -5885.63831   -5777.46105     108.17726        3.76516   -5777.31339     601.84209
      7200.0000    -5888.72586   -5778.45033     110.27553        3.74358   -5780.03388     596.97347
      7300.0000    -5885.26748   -5779.15790     106.10959        3.74916   -5779.32990     598.80109
      7400.0000    -5890.83310   -5776.43500     114.39809        3.75432   -5778.67940     599.23406
      7500.0000    -5885.37362   -5774.14247     111.23115        3.75446   -5778.66220     600.83194
      7600.0000    -5886.01766   -5778.76281     107.25485        3.74207   -5780.22406     597.18511
      7700.0000    -5894.59118   -5787.44566     107.14552        3.76467   -5777.37563     602.76915
      7800.0000    -5885.07189   -5778.47291     106.59897        3.74957   -5779.27808     596.39801
      7900.0000    -5884.99629   -5776.99962     107.99667        3.76008   -5777.95446     599.37275
      8000.0000    -5880.70676   -5774.51890     106.18786        3.76920   -5776.80489     601.16567
      8100.0000    -5891.14248   -5780.94182     110.20066        3.77911   -5775.55528     604.20733
      8200.0000    -5893.43689   -5782.05201     111.38487        3.75449   -5778.65801     601.02081
      8300.0000    -5895.54751   -5784.72521     110.82230        3.73423   -5781.21227     598.51093
      8400.0000    -5889.65857   -5781.23096     108.42761        3.72874   -5781.90346     599.30234
      8500.0000    -5892.84500   -5781.45073     111.39428        3.74711   -5779.58894     602.57845
      8600.0000    -5887.61355   -5774.86571     112.74784        3.73706   -5780.85538     599.82265
      8700.0000    -5889.43624   -5780.66089     108.77535        3.74735   -5779.55830     601.03384
      8800.0000    -5889.43884   -5779.53761     109.90123        3.75039   -5779.17533     603.21546
      8900.0000    -5887.58380   -5775.59467     111.98913        3.72618   -5782.22678     598.22922
      9000.0000    -5893.56501   -5784.10167     109.46334        3.72926   -5781.83864     598.97162
      9100.0000    -5887.12870   -5780.78887     106.33982        3.72424   -5782.47118     598.09368
      9200.0000    -5896.82110   -5787.58245     109.23865        3.72585   -5782.26877     600.14496
      9300.0000    -5890.81233   -5781.83498     108.97735        3.71275   -5783.91943     597.45330
      9400.0000    -5891.62144   -5781.76721     109.85423        3.72209   -5782.74217     597.35493
      9500.0000    -5885.64322   -5773.02719     112.61603        3.74295   -5780.11310     604.53947
      9600.0000    -5894.49242   -5785.09359     109.39883        3.73502   -5781.11235     602.31918
      9700.0000    -5892.73099   -5779.92313     112.80786        3.73086   -5781.63701     598.44081
      9800.0000    -5887.98583   -5778.25510     109.73073        3.74930   -5779.31254     602.30939
      9900.0000    -5894.22232   -5789.23416     104.98816        3.72299   -5782.62826     594.97846
     10000.0000    -5892.18838   -5783.91994     108.26843        3.73034   -5781.70221     599.83673
     10100.0000    -5893.49437   -5780.04569     113.44868        3.72824   -5781.96729     600.37831
     10200.0000    -5888.98917   -5781.29938     107.68979        3.71138   -5784.09146     595.92495
     10300.0000    -5897.42939   -5787.82305     109.60633        3.73320   -5781.34211     602.21573
     10400.0000    -5895.04376   -5783.36720     111.67657        3.71998   -5783.00842     598.89444
     10500.0000    -5889.95636   -5778.26205     111.69431        3.70404   -5785.01720     595.01333
     10600.0000    -5893.96887   -5781.19704     112.77183        3.72846   -5781.93943     601.71680
     10700.0000    -5895.00035   -5785.11559     109.88477        3.71829   -5783.22117     598.61755
     10800.0000    -5889.73238   -5777.10335     112.62904        3.71677   -5783.41250     599.89231
     10900.0000    -5892.10065   -5780.22276     111.87789        3.71206   -5784.00694     596.89615
     11000.0000    -5888.97152   -5783.08767     105.88385        3.72275   -5782.65853     600.15447
     11100.0000    -5889.56270   -5778.78570     110.77700        3.72036   -5782.95991     599.99196
     11200.0000    -5888.71746   -5779.85875     108.85871        3.73279   -5781.39359     604.33784
     11300.0000    -5891.05406   -5775.06863     115.98543        3.71729   -5783.34763     598.86735
     11400.0000    -5895.21074   -5785.27318     109.93756        3.71273   -5783.92212     598.11879
     11500.0000    -5887.93685   -5776.23486     111.70199        3.71308   -5783.87804     599.16710
     11600.0000    -5890.18894   -5779.92120     110.26774        3.71394   -5783.76981     598.09800
     11700.0000    -5897.93382   -5787.81906     110.11476        3.72489   -5782.38868     601.12930
     11800.0000    -5895.48419   -5785.47603     110.00816        3.71216   -5783.99423     599.03865
     11900.0000    -5894.83403   -5785.44302     109.39101        3.70385   -5785.04088     596.86753
