 ## Time[ps]  Epot[eV]  Etot[eV]  Ekin[eV]  <Edelta>  <Etot>  <T[K]>
        10.0000    -4790.35924   -4716.35597      74.00326        5.03825   -4652.60016     565.24135
        20.0000    -4803.76101   -4738.88201      64.87900        4.41434   -4731.23666     373.88410
        30.0000    -4805.14592   -4742.23272      62.91320        4.33513   -4741.22000     348.43373
        40.0000    -4803.09381   -4739.58775      63.50606        4.33352   -4741.42271     347.95496
        50.0000    -4803.96286   -4736.94854      67.01432        4.35749   -4738.40256     355.77765
        60.0000    -4802.57202   -4736.36251      66.20951        4.35694   -4738.47174     355.54863
        70.0000    -4804.44153   -4739.14510      65.29642        4.36181   -4737.85791     357.17613
        80.0000    -4804.37364   -4739.81055      64.56310        4.33870   -4740.76994     349.68064
        90.0000    -4805.12900   -4741.88316      63.24585        4.33495   -4741.24268     348.66522
       100.0000    -4804.83375   -4740.15955      64.67421        4.34892   -4739.48217     352.97259
       110.0000    -4803.29019   -4739.49624      63.79395        4.34819   -4739.57380     352.61033
       120.0000    -4803.41248   -4740.90321      62.50928        4.34695   -4739.73015     352.51983
       130.0000    -4805.35721   -4742.50289      62.85432        4.32221   -4742.84900     344.37036
       140.0000    -4802.83755   -4738.69771      64.13985        4.34522   -4739.94920     352.01834
       150.0000    -4806.91197   -4742.81293      64.09904        4.33833   -4740.81682     349.53331
       160.0000    -4802.62570   -4737.49824      65.12746        4.35151   -4739.15637     353.76324
       170.0000    -4803.80058   -4738.74884      65.05174        4.34065   -4740.52403     350.33231
       180.0000    -4806.41030   -4741.74654      64.66376        4.34210   -4740.34176     350.48404
       190.0000    -4807.60734   -4746.09045      61.51689        4.31800   -4743.38004     342.87390
       200.0000    -4803.29142   -4740.17468      63.11674        4.32561   -4742.42080     345.59288
       210.0000    -4804.81548   -4739.51539      65.30009        4.34422   -4740.07409     351.47014
       220.0000    -4802.45431   -4737.19161      65.26270        4.34355   -4740.15953     351.16561
       230.0000    -4806.44535   -4742.72983      63.71552        4.33740   -4740.93461     349.25564
       240.0000    -4806.29876   -4745.52194      60.77682        4.31332   -4743.96937     341.51888
       250.0000    -4806.23432   -4741.02825      65.20608        4.33951   -4740.66872     349.78461
       260.0000    -4805.45281   -4740.83507      64.61774        4.33685   -4741.00380     349.03771
       270.0000    -4804.74081   -4738.13785      66.60295        4.34210   -4740.34167     350.74731
