 ## Time[ps]  Epot[eV]  Etot[eV]  Ekin[eV]  <Edelta>  <Etot>  <T[K]>
        10.0000    -5746.40269   -5572.83338     173.56931       -1.20895   -5566.72458     954.50826
        20.0000    -5739.39540   -5566.27828     173.11712       -1.22623   -5568.90205     949.03892
        30.0000    -5743.29499   -5571.86018     171.43482       -1.24653   -5571.46061     939.36823
        40.0000    -5743.59226   -5569.57384     174.01842       -1.26098   -5573.28250     952.32317
        50.0000    -5738.46332   -5561.48755     176.97577       -1.17804   -5562.82849     961.16750
        60.0000    -5734.25577   -5561.28514     172.97063       -1.18262   -5563.40637     957.62998
        70.0000    -5749.41448   -5573.39034     176.02414       -1.21550   -5567.55033     953.25482
        80.0000    -5740.80905   -5569.38261     171.42644       -1.28763   -5576.64182     933.35397
        90.0000    -5741.94459   -5570.88703     171.05756       -1.25505   -5572.53517     940.63247
       100.0000    -5740.85153   -5567.46137     173.39016       -1.21571   -5567.57660     951.33160
       110.0000    -5739.36278   -5563.20922     176.15355       -1.20532   -5566.26743     951.77858
       120.0000    -5742.90790   -5564.80497     178.10293       -1.18961   -5564.28748     954.32164
       130.0000    -5732.93859   -5563.46849     169.47009       -1.21986   -5568.10021     948.47328
       140.0000    -5746.83531   -5569.47266     177.36265       -1.19049   -5564.39768     960.42928
       150.0000    -5736.73884   -5566.66375     170.07509       -1.22869   -5569.21272     946.27742
       160.0000    -5740.88843   -5564.63194     176.25649       -1.21357   -5567.30658     954.15334
       170.0000    -5740.68885   -5559.60266     181.08619       -1.21851   -5567.92905     953.06020
       180.0000    -5744.79919   -5567.17102     177.62817       -1.17154   -5562.00992     962.84705
       190.0000    -5753.04425   -5589.95511     163.08914       -1.29989   -5578.18614     935.90123
       200.0000    -5742.05255   -5573.61366     168.43889       -1.26635   -5573.95936     939.25952
       210.0000    -5738.21106   -5558.49835     179.71270       -1.19351   -5564.77888     954.56508
       220.0000    -5736.97765   -5561.22687     175.75078       -1.16138   -5560.72883     957.66231
       230.0000    -5740.52731   -5568.95178     171.57553       -1.15564   -5560.00507     957.22150
       240.0000    -5739.75734   -5570.96175     168.79559       -1.27578   -5575.14811     938.69253
       250.0000    -5740.84989   -5567.97517     172.87472       -1.22981   -5569.35339     939.16169
       260.0000    -5735.94151   -5563.94786     171.99364       -1.20472   -5566.19140     951.67099
       270.0000    -5734.75061   -5556.99898     177.75163       -1.19671   -5565.18171     953.03517
       280.0000    -5745.78453   -5578.23760     167.54693       -1.22200   -5568.36995     949.59484
       290.0000    -5744.15147   -5577.08130     167.07016       -1.26622   -5573.94233     946.65631
       300.0000    -5741.06122   -5565.06973     175.99149       -1.22624   -5568.90436     945.87084
       310.0000    -5737.11847   -5561.40953     175.70895       -1.18798   -5564.08132     958.00908
       320.0000    -5736.77868   -5562.33124     174.44744       -1.20605   -5566.35890     956.32881
       330.0000    -5740.66735   -5562.60540     178.06194       -1.16840   -5561.61336     960.91592
       340.0000    -5746.18705   -5573.99488     172.19217       -1.25881   -5573.00881     939.73313
       350.0000    -5742.00708   -5576.18275     165.82432       -1.25526   -5572.56200     941.55417
       360.0000    -5746.31182   -5572.84095     173.47087       -1.30699   -5579.08176     931.84332
       370.0000    -5744.09273   -5568.90944     175.18329       -1.21663   -5567.69205     950.55756
       380.0000    -5745.76538   -5568.75305     177.01233       -1.26451   -5573.72681     934.65744
       390.0000    -5736.96972   -5566.35126     170.61847       -1.23333   -5569.79706     949.17478
       400.0000    -5740.73824   -5565.70152     175.03672       -1.21395   -5567.35430     956.45751
       410.0000    -5744.28374   -5569.20660     175.07715       -1.24224   -5570.92085     949.51574
       420.0000    -5740.96738   -5564.65703     176.31035       -1.25510   -5572.54181     940.27158
       430.0000    -5740.31201   -5562.97517     177.33684       -1.20812   -5566.61939     951.50747
       440.0000    -5742.16400   -5563.89277     178.27124       -1.20948   -5566.79101     956.87281
       450.0000    -5738.58888   -5561.13971     177.44917       -1.23432   -5569.92164     942.02236
       460.0000    -5737.75705   -5560.08250     177.67455       -1.21583   -5567.59234     946.45032
       470.0000    -5733.96932   -5559.36274     174.60658       -1.16669   -5561.39877     966.55262
       480.0000    -5743.98859   -5568.93910     175.04949       -1.15407   -5559.80742     965.56409
       490.0000    -5744.09478   -5569.76064     174.33414       -1.20420   -5566.12554     955.91276
       500.0000    -5739.52738   -5559.89200     179.63538       -1.17861   -5562.90019     964.75598
       510.0000    -5736.92501   -5560.56765     176.35737       -1.18610   -5563.84490     961.09978
       520.0000    -5743.23348   -5566.67048     176.56301       -1.18817   -5564.10581     959.31138
       530.0000    -5750.70773   -5571.53184     179.17590       -1.25613   -5572.67150     941.70479
       540.0000    -5743.81788   -5567.93168     175.88619       -1.25590   -5572.64273     940.51299
       550.0000    -5749.06125   -5575.27684     173.78441       -1.21032   -5566.89787     949.29860
       560.0000    -5742.10319   -5569.31268     172.79052       -1.24327   -5571.05051     942.92246
       570.0000    -5736.97147   -5553.87709     183.09438       -1.16011   -5560.56875     962.13214
       580.0000    -5738.99065   -5563.53982     175.45083       -1.17690   -5562.68508     966.50122
       590.0000    -5742.45340   -5565.46643     176.98698       -1.18693   -5563.94929     957.11788
       600.0000    -5736.60991   -5572.47739     164.13252       -1.21544   -5567.54287     950.87931
       610.0000    -5743.76164   -5568.15275     175.60889       -1.18228   -5563.36347     956.06020
       620.0000    -5737.14783   -5566.52903     170.61880       -1.20001   -5565.59807     960.37704
       630.0000    -5753.44352   -5578.21768     175.22584       -1.19485   -5564.94744     951.82579
       640.0000    -5746.04614   -5571.13224     174.91390       -1.25459   -5572.47735     942.24217
       650.0000    -5741.59994   -5569.71825     171.88169       -1.17863   -5562.90330     958.07572
       660.0000    -5736.71107   -5562.97787     173.73320       -1.20698   -5566.47662     948.86755
       670.0000    -5740.43035   -5578.31537     162.11498       -1.22723   -5569.02884     944.66479
       680.0000    -5743.03202   -5568.61669     174.41533       -1.24787   -5571.63034     942.95163
       690.0000    -5744.01141   -5562.80395     181.20746       -1.15808   -5560.31333     960.34165
       700.0000    -5737.75484   -5562.42976     175.32508       -1.19659   -5565.16737     954.87713
       710.0000    -5733.11982   -5560.96503     172.15479       -1.16054   -5560.62301     966.96536
       720.0000    -5748.25288   -5569.51155     178.74134       -1.24746   -5571.57890     947.36937
       730.0000    -5741.17458   -5569.91912     171.25545       -1.22026   -5568.15052     949.36679
       740.0000    -5740.27963   -5570.26647     170.01316       -1.22130   -5568.28099     948.24480
       750.0000    -5752.30601   -5576.56881     175.73719       -1.24231   -5570.92944     943.55840
       760.0000    -5741.27483   -5563.54876     177.72607       -1.21382   -5567.33854     951.66184
       770.0000    -5747.99312   -5572.79921     175.19391       -1.21657   -5567.68455     960.69760
       780.0000    -5741.18390   -5567.66024     173.52366       -1.25155   -5572.09372     943.05890
       790.0000    -5751.29423   -5575.53442     175.75981       -1.23761   -5570.33658     950.11943
       800.0000    -5726.88650   -5553.42175     173.46475       -1.18399   -5563.57864     964.44295
       810.0000    -5732.38891   -5554.91320     177.47571       -1.11941   -5555.43870     971.56077
       820.0000    -5728.93708   -5553.30712     175.62996       -1.11194   -5554.49763     975.79274
       830.0000    -5735.52874   -5558.83687     176.69187       -1.16646   -5561.36906     963.29096
       840.0000    -5740.18087   -5567.54431     172.63656       -1.16071   -5560.64492     956.20427
       850.0000    -5745.29151   -5569.88082     175.41069       -1.20534   -5566.26999     947.41255
       860.0000    -5743.07973   -5564.74248     178.33725       -1.23149   -5569.56498     941.43675
       870.0000    -5745.51230   -5569.20959     176.30271       -1.20160   -5565.79767     949.19580
       880.0000    -5742.07644   -5566.29825     175.77818       -1.19783   -5565.32282     959.65738
       890.0000    -5749.00355   -5567.09190     181.91165       -1.21140   -5567.03402     955.28079
       900.0000    -5740.61486   -5559.01918     181.59568       -1.19400   -5564.84041     957.54507
       910.0000    -5739.70235   -5570.92094     168.78141       -1.20916   -5566.75124     952.35893
       920.0000    -5749.58936   -5572.56799     177.02137       -1.25046   -5571.95645     938.91660
       930.0000    -5741.85527   -5560.35718     181.49809       -1.20151   -5565.78732     951.55676
       940.0000    -5737.33753   -5557.93071     179.40682       -1.14995   -5559.28818     968.95518
       950.0000    -5751.29322   -5577.41308     173.88014       -1.20821   -5566.63197     952.15507
       960.0000    -5747.58009   -5568.16757     179.41252       -1.25751   -5572.84495     942.89512
       970.0000    -5744.00130   -5570.91011     173.09119       -1.22293   -5568.48695     947.08768
       980.0000    -5743.79052   -5568.19932     175.59120       -1.23812   -5570.40109     951.80348
       990.0000    -5737.00959   -5563.63508     173.37451       -1.21936   -5568.03639     954.21968
      1000.0000    -5739.54631   -5570.11193     169.43438       -1.24261   -5570.96658     945.96096
      1010.0000    -5755.50346   -5589.03066     166.47280       -1.30113   -5578.34237     932.08216
      1020.0000    -5761.85687   -5603.45709     158.39978       -1.41488   -5592.67933     909.72650
      1030.0000    -5755.32597   -5590.42960     164.89637       -1.45586   -5597.84492     900.61612
      1040.0000    -5759.62830   -5594.18920     165.43910       -1.40487   -5591.41801     907.49646
      1050.0000    -5748.50359   -5586.92110     161.58249       -1.40449   -5591.37026     909.38694
      1060.0000    -5755.30811   -5589.20855     166.09956       -1.37867   -5588.11646     908.90353
      1070.0000    -5762.26290   -5596.79936     165.46353       -1.43756   -5595.53830     898.73401
      1080.0000    -5761.76913   -5598.16537     163.60376       -1.41210   -5592.32948     905.66022
      1090.0000    -5761.22082   -5593.90744     167.31338       -1.40997   -5592.06042     903.92915
      1100.0000    -5759.16458   -5595.22516     163.93942       -1.46678   -5599.22118     889.80494
      1110.0000    -5762.93738   -5601.35809     161.57929       -1.44006   -5595.85295     902.27697
      1120.0000    -5758.15149   -5592.68860     165.46288       -1.46101   -5598.49339     899.68471
      1130.0000    -5770.03717   -5606.19252     163.84465       -1.48626   -5601.67621     892.24280
