 ## Time[ps]  Epot[eV]  Etot[eV]  Ekin[eV]  <Edelta>  <Etot>  <T[K]>
        10.0000    -4036.64386   -3860.22615     176.41771        6.43043   -3857.03531     970.91274
        20.0000    -4041.28235   -3862.94739     178.33496        6.39620   -3861.34951     956.83277
        30.0000    -4037.52627   -3860.94107     176.58520        6.38432   -3862.84636     952.74541
        40.0000    -4035.46936   -3865.37223     170.09713        6.39409   -3861.61550     963.18468
        50.0000    -4035.13571   -3857.11232     178.02339        6.39223   -3861.84961     962.79863
        60.0000    -4030.96611   -3859.52151     171.44460        6.38995   -3862.13678     956.13638
        70.0000    -4044.68334   -3874.93555     169.74779        6.32627   -3870.16366     943.34695
        80.0000    -4045.80503   -3873.38506     172.41997        6.29893   -3873.60979     937.85349
        90.0000    -4041.27457   -3872.83399     168.44058        6.33127   -3869.53270     944.39827
       100.0000    -4043.41311   -3867.68780     175.72531        6.35863   -3866.08448     948.97563
       110.0000    -4045.37290   -3870.07781     175.29508        6.34482   -3867.82558     953.03699
       120.0000    -4045.52899   -3874.85467     170.67432        6.31719   -3871.30749     942.91190
       130.0000    -4041.09264   -3863.70814     177.38450        6.35873   -3866.07247     950.35928
       140.0000    -4034.13147   -3865.48992     168.64155        6.36866   -3864.82060     951.71823
       150.0000    -4039.01710   -3865.03113     173.98598        6.34989   -3867.18700     950.45446
       160.0000    -4038.79427   -3871.46918     167.32509        6.35403   -3866.66518     949.27651
       170.0000    -4040.17763   -3872.26216     167.91548        6.28826   -3874.95405     932.74835
       180.0000    -4042.73139   -3868.23774     174.49364        6.31627   -3871.42399     943.26324
       190.0000    -4039.91498   -3865.24959     174.66540        6.35328   -3866.75939     947.66588
       200.0000    -4045.96751   -3868.22512     177.74238        6.34400   -3867.92935     947.00093
       210.0000    -4044.12859   -3867.65908     176.46951        6.34495   -3867.80855     950.97152
       220.0000    -4044.78226   -3871.77840     173.00386        6.33168   -3869.48098     948.48459
       230.0000    -4046.19794   -3873.11680     173.08114        6.31957   -3871.00729     939.63328
       240.0000    -4036.09135   -3862.95266     173.13869        6.32407   -3870.44018     944.23970
       250.0000    -4041.40369   -3868.61974     172.78395        6.35360   -3866.71939     952.73185
       260.0000    -4040.81939   -3864.38487     176.43452        6.33179   -3869.46789     941.87304
       270.0000    -4036.44661   -3856.19256     180.25405        6.42594   -3857.60123     966.71628
       280.0000    -4046.42811   -3867.82569     178.60242        6.38768   -3862.42308     956.44148
       290.0000    -4045.64318   -3872.47830     173.16487        6.35133   -3867.00514     948.67644
       300.0000    -4027.61323   -3856.07438     171.53885        6.33973   -3868.46676     944.92969
       310.0000    -4035.98969   -3861.74122     174.24846        6.40397   -3860.37017     958.74349
       320.0000    -4049.72696   -3866.75213     182.97484        6.37568   -3863.93612     949.81900
       330.0000    -4038.01764   -3865.39288     172.62476        6.36314   -3865.51640     945.21255
       340.0000    -4039.32741   -3869.98321     169.34420        6.32255   -3870.63263     940.31869
       350.0000    -4045.73849   -3881.64190     164.09659        6.27722   -3876.34609     929.82634
       360.0000    -4042.53787   -3869.29637     173.24150        6.30505   -3872.83824     935.60728
       370.0000    -4040.87364   -3868.13317     172.74047        6.36203   -3865.65612     952.08291
       380.0000    -4038.50491   -3859.07485     179.43006        6.42107   -3858.21454     962.36616
       390.0000    -4040.35737   -3867.41505     172.94232        6.37534   -3863.97852     952.59973
       400.0000    -4033.60636   -3859.18458     174.42178        6.38130   -3863.22737     952.23316
       410.0000    -4043.56304   -3867.75257     175.81047        6.38176   -3863.17002     957.32541
       420.0000    -4045.63755   -3870.66880     174.96875        6.33936   -3868.51351     944.00816
       430.0000    -4039.85598   -3865.26859     174.58739        6.37080   -3864.55096     950.83525
       440.0000    -4045.30039   -3868.61473     176.68566        6.35695   -3866.29678     951.43433
       450.0000    -4043.23273   -3870.84423     172.38850        6.35751   -3866.22578     952.24193
       460.0000    -4044.11569   -3872.53515     171.58054        6.32748   -3870.01072     943.46684
