 ## Time[ps]  Epot[eV]  Etot[eV]  Ekin[eV]  <Edelta>  <Etot>  <T[K]>
       660.0000    -4579.84294   -4401.97043     177.87251        7.10420   -4399.72028     958.86704
       670.0000    -4582.01228   -4405.29485     176.71744        7.09170   -4401.29575     955.34708
       680.0000    -4583.58367   -4403.94802     179.63566        7.03560   -4408.36692     952.01494
       690.0000    -4583.91643   -4403.16304     180.75339        7.07324   -4403.62266     960.89278
       700.0000    -4577.62490   -4401.42081     176.20410        7.02491   -4409.71349     943.97127
       710.0000    -4580.07287   -4405.03120     175.04167        7.07510   -4403.38805     952.83912
       720.0000    -4581.21952   -4411.95178     169.26774        7.00824   -4411.81522     937.51327
       730.0000    -4590.74621   -4417.51824     173.22797        6.98726   -4414.45958     936.69930
       740.0000    -4586.93107   -4407.97395     178.95713        7.02670   -4409.48778     948.69994
       750.0000    -4581.73095   -4408.74605     172.98490        7.04898   -4406.67994     947.89205
       760.0000    -4572.84966   -4399.51693     173.33273        7.06791   -4404.29428     949.37675
       770.0000    -4575.13121   -4399.78096     175.35025        7.10175   -4400.02935     963.65696
       780.0000    -4582.76461   -4403.54737     179.21724        7.06159   -4405.09106     954.78934
       790.0000    -4584.65952   -4414.16958     170.48994        7.01302   -4411.21255     945.02406
       800.0000    -4575.56089   -4398.33441     177.22648        7.06360   -4404.83685     958.24213
       810.0000    -4573.03413   -4402.74637     170.28776        7.12268   -4397.39053     968.94169
       820.0000    -4565.86030   -4387.39269     178.46761        7.12102   -4397.60057     969.12018
       830.0000    -4577.45827   -4405.00700     172.45128        7.08795   -4401.76883     956.26316
       840.0000    -4577.41142   -4396.53216     180.87926        7.07399   -4403.52779     958.23290
       850.0000    -4584.15580   -4410.26723     173.88856        7.08128   -4402.60952     955.37112
       860.0000    -4576.69983   -4406.13836     170.56146        6.97044   -4416.57958     926.06114
       870.0000    -4588.64441   -4415.88057     172.76384        7.00599   -4412.09795     941.40100
       880.0000    -4582.90063   -4406.34722     176.55341        6.99768   -4413.14534     941.20855
       890.0000    -4584.36126   -4405.45394     178.90731        7.04979   -4406.57819     947.25941
       900.0000    -4573.35663   -4405.07095     168.28569        7.05038   -4406.50383     951.75695
       910.0000    -4576.26460   -4399.16398     177.10062        7.08929   -4401.59961     955.64605
       920.0000    -4574.79967   -4404.65253     170.14714        7.08229   -4402.48107     956.49194
       930.0000    -4584.03317   -4403.14659     180.88658        7.07006   -4404.02312     951.57003
       940.0000    -4576.71921   -4402.43278     174.28643        7.09700   -4400.62702     961.09203
       950.0000    -4582.18608   -4407.34039     174.84569        7.06724   -4404.37811     951.12299
       960.0000    -4579.63874   -4411.59044     168.04830        7.02611   -4409.56185     938.90239
       970.0000    -4583.15444   -4404.31994     178.83450        7.05157   -4406.35401     949.64413
       980.0000    -4582.84661   -4411.76199     171.08463        7.02538   -4409.65477     942.36370
       990.0000    -4579.60872   -4407.95656     171.65216        7.03883   -4407.95939     945.88343
      1000.0000    -4576.51815   -4399.33308     177.18508        7.04848   -4406.74265     947.08743
      1010.0000    -4586.03214   -4418.19223     167.83991        6.98655   -4414.54799     931.70432
      1020.0000    -4599.26786   -4433.79427     165.47360        6.90204   -4425.20035     911.93760
      1030.0000    -4597.59871   -4432.50347     165.09524        6.86533   -4429.82737     903.20181
      1040.0000    -4596.22701   -4425.54912     170.67789        6.85635   -4430.95856     902.91816
      1050.0000    -4588.99048   -4418.66293     170.32755        6.88695   -4427.10222     907.54946
      1060.0000    -4591.62736   -4423.41660     168.21076        6.92029   -4422.90035     915.24621
      1070.0000    -4589.13485   -4425.03675     164.09810        6.87872   -4428.13948     906.52660
      1080.0000    -4595.79371   -4428.23910     167.55460        6.92319   -4422.53405     914.56538
      1090.0000    -4597.68866   -4434.80499     162.88367        6.87430   -4428.69654     904.78797
      1100.0000    -4588.02503   -4417.84848     170.17655        6.86941   -4429.31316     901.64589
      1110.0000    -4594.69952   -4426.15049     168.54903        6.93270   -4421.33550     921.85600
      1120.0000    -4593.87036   -4426.18363     167.68673        6.88536   -4427.30191     908.83036
      1130.0000    -4593.63845   -4430.97185     162.66659        6.90941   -4424.27092     914.77751
      1140.0000    -4599.31779   -4437.23069     162.08709        6.83105   -4434.14783     898.75490
      1150.0000    -4595.85901   -4427.67050     168.18852        6.82486   -4434.92829     900.19557
      1160.0000    -4600.34994   -4432.55906     167.79088        6.84240   -4432.71763     903.94220
      1170.0000    -4590.73699   -4423.95617     166.78082        6.91849   -4423.12708     915.50106
      1180.0000    -4601.06477   -4436.62402     164.44075        6.85710   -4430.86401     904.40842
      1190.0000    -4591.90668   -4428.21234     163.69434        6.81333   -4436.38151     893.89676
      1200.0000    -4597.70722   -4432.41411     165.29311        6.86782   -4429.51312     901.20418
      1210.0000    -4597.81085   -4431.33011     166.48074        6.86452   -4429.92964     907.88988
      1220.0000    -4597.04242   -4428.22573     168.81669        6.84920   -4431.86045     901.01660
      1230.0000    -4596.20346   -4427.04329     169.16017        6.84433   -4432.47369     897.67778
